Indicator,Year,Value,Unit,Confidence,RawText,DisplayValue,Source,Method,CanonicalIndicator,Category,Canonical Name,Indicator Name,FileRef,page_content,SourceURL
Inflation,2010,1.9,,70,"Real GDP (at 2010 prices) 1.9 2.7 1.0 -8.2 -4.3 3.9 4.1 2.8 2.8 2.9 3.0
GDP deflator 4.8 7.9 7.1 5.4 5.0 5.9 5.6 5.5 5.3 4.6 4.1
CPI inflation (average) 5.3 7.3 6.7 5.7 6.2 5.9 4.9 5.7 5.3 4.6 4.2
CPI inflation (eop) 6.2 7.5 6.1 5.5 6.0 6.0 4.8 5.6 5.2 4.5 4.1
Saving investment balance (Percent of GDP)
Gross national savings 9.1 10.0 8.8 1.0 3.1 4.2 6.6 5.7 7.5 9.6 11.6
of which: central government -0.4 1.0 1.4 -4.1 -1.1 -0.2 2.1 1.8 2.8 3.8 4.8
Gross investment 19.4 21.1 17.2 7.8 10.6 12.6 14.8 13.6 14.7 16.3 17.5
of which: central government 5.6 5.6 5.3 6.1 3.3 5.8 4.6 5.9 6.0 6.1 6.3
Central government operations 1/ (Percent of GDP, unless otherwise indicated)
Total revenue and grants 24.6 26.0 27.7 26.9 26.4 27.2 27.8 27.6 27.8 28.0 28.2
Total expenditure and net lending 30.6 30.5 31.6 37.5 30.7 33.2 30.3 31.6 31.0 30.3 29.7
of which: wage bill 15.0 14.0 14.6 17.6 16.5 16.8 15.4 16.2 15.6 15.0 14.5
of which: energy subsidies 1.6 2.5 2.8 1.3 0.7 0.6 0.5 0.3 0.0 0.0 0.0
of which: transfers (incl.",2,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Gross Domestic Product (gdp) At Market Prices,2019,155.0,%,100,"The country’s net debtor position has gradually deteriorated over  the 2010s, reaching 155 percent of GDP in  2019 (Figure 1).",155 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2019,23.0,%,100,"Foreign assets had declined  to 23 percent of GDP by 2019, while foreign  liabilities rose significantly, to 178 percent of  GDP.",23.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Public Administration,2019,71.0,%,100,The high share of external debt in total central  government debt (71 percent in 2019) increases debt sustainability risks given the overvalued  exchange rate (see exchange rate assessment below).,71.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Gross Domestic Product (gdp) At Market Prices,2020,20.5,%,100,"In addition, SOE external debt to GDP is  estimated at 20.5 percent of GDP in September 2020.",20.5 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2019,7.6,%,100,"In 2019, total external debt service amounted to  7.6 percent of GDP and 11 percent of exports of goods and services, respectively.",7.6 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Merchandise Exports (current Usd),2019,11.0,%,100,"In 2019, total external debt service amounted to  7.6 percent of GDP and 11 percent of exports of goods and services, respectively.",11.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Current Account Balance,2018,2019.0,,85,Effective interest rate (in percent) 4/ 4.4 4.1 3.9 4.5 4.3 4.5 5.2 5.6 5.9 Fitch B B 2018 2019 2020 2021 2022 2023 2024 2025 cumulative Change in gross public sector debt 3.2 6.5 -5.6 15.8 3.6 2.7 2.6 2.0 1.3 27.9 Identified debt-creating flows 3.7 7.8 -6.3 13.7 1.2 -0.7 -1.5 -2.4 -3.0 7.3 Primary deficit 2.5 1.9 1.0 7.2 5.9 3.0 2.0 1.0 0.3 19.4 Primary (noninterest) revenue and grants 24.5 26.0 27.7 26.9 27.0 27.2 27.2 27.4 27.5 163.1 Primary (noninterest) expenditure 26.9 27.9 28.7 34.1 32.8 30.2 29.2 28.4 27.8 182.5 Automatic debt dynamics,"2,019",tunisia-article-iv-feb-2021.pdf,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Current Account Balance,2019,8.4,%,100,"The current account deficit in 2019 moderated to  8.4 percent of GDP, down from 11.1 percent of GDP the year before (Figure 2).",8.4 %,tunisia-article-iv-feb-2021.pdf,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Merchandise Imports (current Usd),2020,10.0,%,100,"The collapse in  exports and imports for the first nine months of 2020 narrowed the trade balance to 10 percent  of GDP, with nearly half of it coming from the energy deficit (from lower international oil prices).",10.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Gross Domestic Product (gdp) At Market Prices,2019,2020.0,,85,"As of 2020Q3, tourism revenue had collapsed to 2.2 percent of GDP (compared with 5.1 percent  over the same period in 2019), while remittances showed resilience at 6.6 percent of GDP  (compared with 6.2 percent of GDP over the same period in 2019).","2,020",tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2019,2.2,%,100,"As of 2020Q3, tourism revenue had collapsed to 2.2 percent of GDP (compared with 5.1 percent  over the same period in 2019), while remittances showed resilience at 6.6 percent of GDP  (compared with 6.2 percent of GDP over the same period in 2019).",2.2 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Current Account Balance,2019,7.4,%,100,"As a result, the current  account deficit had shrunk to 7.4 percent of GDP as of 2020Q3, compared with a deficit of  9 percent over the same period in 2019.",7.4 %,tunisia-article-iv-feb-2021.pdf,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Current Account Balance,2019,2020.0,,85,The improvement in 2019 was thanks  to currency appreciation (which started in February 2019 and continued over the course of 2020)  and the reduction in the current account deficit.,"2,020",tunisia-article-iv-feb-2021.pdf,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Current Account Balance,2019,9.0,%,100,"As a result, the current  account deficit had shrunk to 7.4 percent of GDP as of 2020Q3, compared with a deficit of  9 percent over the same period in 2019.",9.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Public Administration,2019,8.8,%,100,"National savings have steadily declined over the years, to 8.8 percent of GDP in  2019, reflecting both a decline in private savings and an erosion of government savings  (Figure 4).",8.8 %,tunisia-article-iv-feb-2021.pdf,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Current Account Balance,2020,6.8,%,100,"In light of the  exceptional circumstances of the Covid-19 pandemic,  the CA model adjusts the 2020 CA balance  (-6.8 percent of GDP) both for cyclical factors and for  temporary Covid-19 related factors (the latter  accounting for loss in tourism revenue and a  temporary decrease in the energy deficit).1",6.8 %,tunisia-article-iv-feb-2021.pdf,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Public Debt (% Of Gdp),2019,72.0,%,100,"In 2019,  the central government debt stock had declined from 77½ to 72 percent of GDP mainly as a  result of dinar appreciation and low real interest rates.",72.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Public Debt (% Of Gdp),National Accounts,Public Debt (% Of Gdp),Public Debt (% Of Gdp),,,
Current Account Balance,2020,8.2,%,100,"The combination of the sharp contraction of real  GDP in 2020 (estimated at 8.2 percent) and the deterioration of the primary fiscal deficit (to  8.2 percent of GDP, excl.",8.2 %,tunisia-article-iv-feb-2021.pdf,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Inflation,2021,2.0,,70,"Under this baseline scenario, substantial  domestic financing (including indirectly from the central bank) would fuel inflation and reserves  losses, and, ultimately, result in untenable pressure on the exchange rate.1, 2 A strong and  credible reform scenario, with resolute and sustained reform efforts to reduce the fiscal deficit  starting already 2021, and underpinned by a medium-term fiscal policy framework and broad  political support, projects that fiscal balances and the public debt ratio could be put back on a  sustainable trajectory, reducing public debt to below 85 percent of GDP over the medium term.3    1",2,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Public Debt (% Of Gdp),2025,100.0,%,100,"A number of other tests, including a  customized scenario of a major security incident, a combined macro-fiscal shock, and a  contingent liability shock (see also below) suggest that public debt could exceed 100 percent  of GDP before 2025.",100 %,tunisia-article-iv-feb-2021.pdf,Alias,Public Debt (% Of Gdp),National Accounts,Public Debt (% Of Gdp),Public Debt (% Of Gdp),,,
Gross Domestic Product (gdp) At Market Prices,2020,12.2,%,100,"Second, banks’ exposure to  sovereign debt has remained relatively low so far, though it has increased in 2020 to an  estimated 12.2 percent of GDP.",12.2 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Public Administration,2025,85.0,%,100,"The reform  scenario would bring central government public debt back towards a sustainable path (below  85 percent of GDP) by 2025 (see Text Table 4, Text Box 2, Tables 10–11 and Appendix Figure 8).",85.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Gross Domestic Product (gdp) At Market Prices,1990,60.0,%,100,4/ Data cover annual obervations from 1990 to 2011 for advanced and emerging economies with debt greater than 60 percent of GDP.,60.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2010,2011.0,,85,"-6 -4 -2 0 2 4 2010 2011 2012 2013 2014 2015 2016 2017 2018 Year 2/ Real GDP Growth Interquartile range (25-75) Median Tunisia forecast error -1.96 3% Has a percentile rank of: Tunisia median forecast error, 2010-2018:","2,011",tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Inflation,2010,2.0,,70,"-3 -2 -1 0 1 2 3 4 5 6 2010 2011 2012 2013 2014 2015 2016 2017 2018 Year 2/ Inflation (Deflator) Interquartile range (25-75) Median Tunisia forecast error 2.10 90% Has a percentile rank of: Tunisia median forecast error, 2010-2018:",2,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2021,8.4,,70,"As of January 05, 2021 2/ 2018 2019 2020 2021 2022 2023 2024 2025 Nominal gross public debt 50.8 77.5 71.8 87.6 91.2 93.9 96.5 98.5 99.7 Sovereign Spreads Of which: guarantees 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 EMBIG (bp) 3/ 849 Public gross financing needs 8.4 10.7 9.4 17.2 18.3 15.5 15.7 15.9 14.0 5Y CDS (bp) 454 Public debt (in percent of potential GDP) 50.8 79.3 74.2 83.0 89.5 93.3 96.2 98.1 99.1 Real GDP growth (in percent) 2.1 2.7 1.0 -8.2 3.8 2.4 2.0 1.8 1.8 Ratings Foreign Local Inflation (GDP deflator, in percent) 4.2 7.9 7.1 5.4 5.9 6.2 6.9 7.3 7.5 Moody's B2 B2 Nominal GDP growth (in percent) 6.3 10.8 8.2 -3.2 9.9 8.8 9.1 9.2 9.4 S&Ps n.a.",8,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Gross Domestic Product (gdp) At Market Prices,2021,2020.0,,85,"− REFORM Scenario
(In percent of GDP)
Actual Projections As of January 05, 2021
2009-2017 2/ 2018 2019 2020 2021 2022 2023 2024 2025
Nominal gross public debt 50.8 77.5 71.8 87.6 88.3 88.3 87.7 86.5 84.4 Sovereign Spreads
Of which: guarantees 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 EMBIG (bp) 3/ 849
Public gross financing needs 8.4 10.7 9.4 17.2 15.1 12.3 11.2 10.7 8.4 5Y CDS (bp) 454
Public debt (in percent of potential GDP) 50.8 79.3 74.2 83.0 86.7 88.1 88.6 88.1 86.7
Real GDP growth (in percent)","2,020",tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2021,2022.0,,85,"− REFORM Scenario
(In percent of GDP)
Actual Projections As of January 05, 2021
2009-2017 2/ 2018 2019 2020 2021 2022 2023 2024 2025
Nominal gross public debt 50.8 77.5 71.8 87.6 88.3 88.3 87.7 86.5 84.4 Sovereign Spreads
Of which: guarantees 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 EMBIG (bp) 3/ 849
Public gross financing needs 8.4 10.7 9.4 17.2 15.1 12.3 11.2 10.7 8.4 5Y CDS (bp) 454
Public debt (in percent of potential GDP) 50.8 79.3 74.2 83.0 86.7 88.1 88.6 88.1 86.7
Real GDP growth (in percent)","2,022",tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Inflation,2020,1.8,,70,"(in percent of GDP)
140 550 35
130 500 30
120 450 25
110 400 20
100 350 15
90 300 10
80 250 5
70 200 0
2020 2021 2022 2023 2024 2025 2020 2021 2022 2023 2024 2025 2020 2021 2022 2023 2024 2025
Underlying Assumptions
(in percent)
2020 2021 2022 2023 2024 2025 2020 2021 2022 2023 2024 2025
Primary Balance Shock Real GDP Growth Shock
Real GDP growth -8.2 3.8 2.4 2.0 1.8 1.8 Real GDP growth -8.2 2.1 0.7 2.0 1.8 1.8
Inflation 5.4 5.9 6.2 6.9 7.3 7.5 Inflation 5.4 5.4 5.8 6.9 7.3 7.5
Primary balance -7.2",2,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2020,5.4,,70,Tunisia: Composition of Public Debt and Alternative Scenarios    Baseline Scenario 2020 2021 2022 2023 2024 2025 Historical Scenario 2020 2021 2022 2023 2024 2025 Real GDP growth -8.2 3.8 2.4 2.0 1.8 1.8 Real GDP growth -8.2 1.9 1.9 1.9 1.9 1.9 Inflation 5.4 5.9 6.2 6.9 7.3 7.5 Inflation 5.4 5.9 6.2 6.9 7.3 7.5 Primary Balance -7.2 -5.9 -3.0,5,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2020,8.2,,70,"(in percent of GDP)
140 550 35
130 500 30
120 450 25
110 400 20
100 350 15
90 300 10
80 250 5
70 200 0
2020 2021 2022 2023 2024 2025 2020 2021 2022 2023 2024 2025 2020 2021 2022 2023 2024 2025
Underlying Assumptions
(in percent)
2020 2021 2022 2023 2024 2025 2020 2021 2022 2023 2024 2025
Primary Balance Shock Real GDP Growth Shock
Real GDP growth -8.2 3.8 2.4 2.0 1.8 1.8 Real GDP growth -8.2 2.1 0.7 2.0 1.8 1.8
Inflation 5.4 5.9 6.2 6.9 7.3 7.5 Inflation 5.4 5.4 5.8 6.9 7.3 7.5
Primary balance -7.2",8,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2021,3.0,,70,"As of January 05, 2021 2/ 2018 2019 2020 2021 2022 2023 2024 2025 Nominal gross public debt 50.8 77.5 71.8 87.6 88.3 88.3 87.7 86.5 84.4 Sovereign Spreads Of which: guarantees 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 EMBIG (bp) 3/ 849 Public gross financing needs 8.4 10.7 9.4 17.2 15.1 12.3 11.2 10.7 8.4 5Y CDS (bp) 454 Public debt (in percent of potential GDP) 50.8 79.3 74.2 83.0 86.7 88.1 88.6 88.1 86.7 Real GDP growth (in percent) 2.1 2.7 1.0 -8.2 3.9 2.8 2.8 2.9 3.0 Ratings Foreign Local Inflation (GDP deflator, in percent) 4.2 7.9 7.1 5.4 5.9 5.5 5.3 4.6 4.1 Moody's B2 B2 Nominal GDP growth (in percent) 6.3 10.8 8.2 -3.2 10.0 8.5 8.2 7.6 7.2 S&Ps n.a.",3,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Gross Domestic Product (gdp) At Market Prices,2018,97.4,%,100,The external debt-to-GDP ratio reached  97.4 percent in 2018 and declined to 92.8 percent in 2019.,97.4 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
